Read 150 points
Init centroids completed.
0: 9.392548 1: 0.139690 2: 28.105780  prev: -1, new: 1 
0: 9.365561 1: 0.736495 2: 28.698868  prev: -1, new: 1 
0: 10.383440 1: 0.778710 2: 30.567825  prev: -1, new: 1 
0: 9.483519 1: 0.996478 2: 29.209860  prev: -1, new: 1 
0: 9.659179 1: 0.177836 2: 28.613337  prev: -1, new: 1 
0: 7.745251 1: 0.119889 2: 24.221336  prev: -1, new: 1 
0: 9.984435 1: 0.748878 2: 29.886530  prev: -1, new: 1 
0: 8.902981 1: 0.249120 2: 27.527403  prev: -1, new: 1 
0: 10.495026 1: 1.649900 2: 31.151430  prev: -1, new: 1 
0: 9.116585 1: 0.618457 2: 28.195150  prev: -1, new: 1 
0: 8.820681 1: 0.000000 2: 26.343184  prev: -1, new: 1 
0: 8.723442 1: 0.440092 2: 27.499979  prev: -1, new: 1 
0: 9.806429 1: 0.869912 2: 29.534639  prev: -1, new: 1 
0: 12.733024 1: 1.869972 2: 34.872276  prev: -1, new: 1 
0: 10.853447 1: 0.309867 2: 28.381714  prev: -1, new: 1 
0: 9.832106 1: 0.619656 2: 26.165899  prev: -1, new: 1 
0: 9.787247 1: 0.087113 2: 27.740242  prev: -1, new: 1 
0: 9.160898 1: 0.141402 2: 27.739902  prev: -1, new: 1 
0: 7.630296 1: 0.148241 2: 23.478346  prev: -1, new: 1 
0: 9.071234 1: 0.107247 2: 27.221764  prev: -1, new: 1 
0: 7.450108 1: 0.129998 2: 24.293394  prev: -1, new: 1 
0: 8.703200 1: 0.126970 2: 26.739243  prev: -1, new: 1 
0: 12.752139 1: 0.899659 2: 34.225891  prev: -1, new: 1 
0: 7.041056 1: 0.353152 2: 24.283390  prev: -1, new: 1 
0: 7.256039 1: 0.528768 2: 24.924889  prev: -1, new: 1 
0: 8.174885 1: 0.657297 2: 26.509069  prev: -1, new: 1 
0: 7.963177 1: 0.294732 2: 25.949902  prev: -1, new: 1 
0: 8.740072 1: 0.079998 2: 26.823410  prev: -1, new: 1 
